0.000000:	0.126297
0.010000:	0.474568
0.020000:	0.477879
0.030000:	0.479887
0.040000:	0.481267
0.050000:	0.482365
0.060000:	0.483127
0.070000:	0.484048
0.080000:	0.484546
0.090000:	0.485368
0.100000:	0.485950
0.110000:	0.487122
0.120000:	0.486928
0.130000:	0.487385
0.140000:	0.487147
0.150000:	0.487400
0.160000:	0.488250
0.170000:	0.488806
0.180000:	0.489771
0.190000:	0.491339
0.200000:	0.492135
0.210000:	0.492653
0.220000:	0.493503
0.230000:	0.494231
0.240000:	0.494632
0.250000:	0.494640
0.260000:	0.494841
0.270000:	0.494789
0.280000:	0.495223
0.290000:	0.495437
0.300000:	0.496585
0.310000:	0.497950
0.320000:	0.498259
0.330000:	0.498746
0.340000:	0.499493
0.350000:	0.499807
0.360000:	0.500075
0.370000:	0.500133
0.380000:	0.500197
0.390000:	0.500257
0.400000:	0.500459
0.410000:	0.500571
0.420000:	0.501158
0.430000:	0.501403
0.440000:	0.501623
0.450000:	0.502378
0.460000:	0.502613
0.470000:	0.502445
0.480000:	0.502774
0.490000:	0.503303
0.500000:	0.505122
0.510000:	0.505819
0.520000:	0.506340
0.530000:	0.507091
0.540000:	0.507726
0.550000:	0.508055
0.560000:	0.508156
0.570000:	0.507460
0.580000:	0.507652
0.590000:	0.507770
0.600000:	0.508216
0.610000:	0.508526
0.620000:	0.508370
0.630000:	0.508257
0.640000:	0.508393
0.650000:	0.508581
0.660000:	0.508600
0.670000:	0.508188
0.680000:	0.507781
0.690000:	0.507613
0.700000:	0.509682
0.710000:	0.509258
0.720000:	0.508933
0.730000:	0.509811
0.740000:	0.509565
0.750000:	0.508938
0.760000:	0.506137
0.770000:	0.506417
0.780000:	0.506545
0.790000:	0.505456
0.800000:	0.504919
0.810000:	0.503949
0.820000:	0.502765
0.830000:	0.500224
0.840000:	0.496601
0.850000:	0.493883
0.860000:	0.490872
0.870000:	0.487939
0.880000:	0.486077
0.890000:	0.483098
0.900000:	0.479867
0.910000:	0.475140
0.920000:	0.468588
0.930000:	0.461707
0.940000:	0.459287
0.950000:	0.451160
0.960000:	0.435180
0.970000:	0.417178
0.980000:	0.394626
0.990000:	0.367794
