k1=1.200000, b=0.000000, k3=100:	0.435480
k1=1.200000, b=0.000000, k3=200:	0.435480
k1=1.200000, b=0.000000, k3=300:	0.435480
k1=1.200000, b=0.000000, k3=400:	0.435480
k1=1.200000, b=0.000000, k3=500:	0.435480
k1=1.200000, b=0.000000, k3=600:	0.435480
k1=1.200000, b=0.000000, k3=700:	0.435480
k1=1.200000, b=0.000000, k3=800:	0.435480
k1=1.200000, b=0.000000, k3=900:	0.435480
k1=1.200000, b=0.100000, k3=100:	0.456912
k1=1.200000, b=0.100000, k3=200:	0.456912
k1=1.200000, b=0.100000, k3=300:	0.456912
k1=1.200000, b=0.100000, k3=400:	0.456912
k1=1.200000, b=0.100000, k3=500:	0.456912
k1=1.200000, b=0.100000, k3=600:	0.456912
k1=1.200000, b=0.100000, k3=700:	0.456912
k1=1.200000, b=0.100000, k3=800:	0.456912
k1=1.200000, b=0.100000, k3=900:	0.456912
k1=1.200000, b=0.200000, k3=100:	0.473523
k1=1.200000, b=0.200000, k3=200:	0.473523
k1=1.200000, b=0.200000, k3=300:	0.473523
k1=1.200000, b=0.200000, k3=400:	0.473523
k1=1.200000, b=0.200000, k3=500:	0.473523
k1=1.200000, b=0.200000, k3=600:	0.473523
k1=1.200000, b=0.200000, k3=700:	0.473523
k1=1.200000, b=0.200000, k3=800:	0.473523
k1=1.200000, b=0.200000, k3=900:	0.473523
k1=1.200000, b=0.300000, k3=100:	0.484080
k1=1.200000, b=0.300000, k3=200:	0.484080
k1=1.200000, b=0.300000, k3=300:	0.484080
k1=1.200000, b=0.300000, k3=400:	0.484080
k1=1.200000, b=0.300000, k3=500:	0.484080
k1=1.200000, b=0.300000, k3=600:	0.484080
k1=1.200000, b=0.300000, k3=700:	0.484080
k1=1.200000, b=0.300000, k3=800:	0.484080
k1=1.200000, b=0.300000, k3=900:	0.484080
k1=1.200000, b=0.400000, k3=100:	0.494034
k1=1.200000, b=0.400000, k3=200:	0.494034
k1=1.200000, b=0.400000, k3=300:	0.494034
k1=1.200000, b=0.400000, k3=400:	0.494034
k1=1.200000, b=0.400000, k3=500:	0.494034
k1=1.200000, b=0.400000, k3=600:	0.494034
k1=1.200000, b=0.400000, k3=700:	0.494034
k1=1.200000, b=0.400000, k3=800:	0.494034
k1=1.200000, b=0.400000, k3=900:	0.494034
k1=1.200000, b=0.500000, k3=100:	0.496858
k1=1.200000, b=0.500000, k3=200:	0.496858
k1=1.200000, b=0.500000, k3=300:	0.496858
k1=1.200000, b=0.500000, k3=400:	0.496858
k1=1.200000, b=0.500000, k3=500:	0.496858
k1=1.200000, b=0.500000, k3=600:	0.496858
k1=1.200000, b=0.500000, k3=700:	0.496858
k1=1.200000, b=0.500000, k3=800:	0.496858
k1=1.200000, b=0.500000, k3=900:	0.496858
k1=1.200000, b=0.600000, k3=100:	0.498692
k1=1.200000, b=0.600000, k3=200:	0.498692
k1=1.200000, b=0.600000, k3=300:	0.498692
k1=1.200000, b=0.600000, k3=400:	0.498692
k1=1.200000, b=0.600000, k3=500:	0.498692
k1=1.200000, b=0.600000, k3=600:	0.498692
k1=1.200000, b=0.600000, k3=700:	0.498692
k1=1.200000, b=0.600000, k3=800:	0.498692
k1=1.200000, b=0.600000, k3=900:	0.498692
k1=1.200000, b=0.700000, k3=100:	0.500634
k1=1.200000, b=0.700000, k3=200:	0.500634
k1=1.200000, b=0.700000, k3=300:	0.500634
k1=1.200000, b=0.700000, k3=400:	0.500634
k1=1.200000, b=0.700000, k3=500:	0.500634
k1=1.200000, b=0.700000, k3=600:	0.500634
k1=1.200000, b=0.700000, k3=700:	0.500634
k1=1.200000, b=0.700000, k3=800:	0.500634
k1=1.200000, b=0.700000, k3=900:	0.500634
