Topic: 1
it 0.00893652
macbook 0.00831252
chromebook 0.00711023
that 0.00657309
inch 0.00581117
-_inch 0.00581061
pro 0.00505733
wrangler 0.00470677
new 0.00465991
machin 0.0046572
as 0.00441488
laptop 0.00435745
samsung 0.00405657
batteri 0.00395755
it_'s 0.00390866
intel 0.00370634
appl 0.00360721
,_it 0.00345795
xps 0.00335499
life 0.00330622
============================
Topic: 2
the 0.0121042
watch 0.0090172
s_> 0.00719127
and 0.00665868
of 0.00651705
to 0.00645934
the_Watch 0.00620564
up 0.00504224
or 0.00417616
<_/ 0.00359531
<_s 0.00359498
boat 0.0033073
car 0.00326078
>_< 0.00310286
face 0.00300279
�_� 0.00295555
�_� 0.00295555
can 0.00295113
of_the 0.00282481
._< 0.00264585
============================
Topic: 3
uxa 0.0100919
vivofit 0.00910247
�_� 0.00731699
�_� 0.00731699
asus 0.00677356
you 0.00652071
we 0.00596458
zenbook 0.00573851
the_Vivofit 0.00554063
this 0.00551861
garmin 0.00459907
the_UX31A 0.00455123
your 0.00449229
prime 0.00415547
Zenbook_Prime 0.00395759
tomtom 0.00385756
�_ 0.0037488
strap 0.00355747
ASUS_Zenbook 0.00336395
display 0.00327464
============================
Topic: 4
nike 0.00724187
and 0.00719171
surg 0.00588154
s_> 0.00510551
explor 0.00494729
>_The 0.00450468
the_Surge 0.00392103
fitbit 0.00391301
soni 0.00387101
fuel 0.00375093
audi 0.00366694
trim 0.00356691
four 0.00346287
devic 0.00331282
gps 0.00327484
fuelband 0.00322883
seat 0.00315074
engin 0.0030047
you'r 0.00299668
ford 0.00289076

